ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.77,192.168.4.133,33354,56668,1024,0x0002
192.168.4.113,192.168.4.133,50001,56668,1024,0x0002
192.168.4.20,192.168.4.133,9,56668,1024,0x0002
192.168.4.21,192.168.4.133,1217,56668,1024,0x0002
192.168.4.75,192.168.4.133,8651,56668,1024,0x0002
192.168.4.77,192.168.4.133,4,56668,1024,0x0002
192.168.4.113,192.168.4.133,3283,56668,1024,0x0002
192.168.4.20,192.168.4.133,1328,56668,1024,0x0002
192.168.4.21,192.168.4.133,7001,56668,1024,0x0002
192.168.4.75,192.168.4.133,5003,56668,1024,0x0002
192.168.4.77,192.168.4.133,2222,56668,1024,0x0002
192.168.4.113,192.168.4.133,9000,56668,1024,0x0002
192.168.4.20,192.168.4.133,5550,56668,1024,0x0002
192.168.4.21,192.168.4.133,1974,56668,1024,0x0002
192.168.4.75,192.168.4.133,6668,56668,1024,0x0002
192.168.4.77,192.168.4.133,22939,56668,1024,0x0002
192.168.4.113,192.168.4.133,5962,56668,1024,0x0002
192.168.4.20,192.168.4.133,37,56668,1024,0x0002
192.168.4.21,192.168.4.133,512,56668,1024,0x0002
192.168.4.75,192.168.4.133,27356,56668,1024,0x0002
192.168.4.77,192.168.4.133,6699,56668,1024,0x0002
192.168.4.113,192.168.4.133,2607,56668,1024,0x0002
192.168.4.20,192.168.4.133,6692,56668,1024,0x0002
192.168.4.21,192.168.4.133,9111,56668,1024,0x0002
192.168.4.75,192.168.4.133,631,56668,1024,0x0002
192.168.4.77,192.168.4.133,1010,56668,1024,0x0002
192.168.4.113,192.168.4.133,28201,56668,1024,0x0002
192.168.4.20,192.168.4.133,1217,56668,1024,0x0002
192.168.4.21,192.168.4.133,8045,56668,1024,0x0002
192.168.4.75,192.168.4.133,27715,56668,1024,0x0002
192.168.4.77,192.168.4.133,7025,56668,1024,0x0002
192.168.4.133,192.168.4.75,56668,18988,0,0x0014
192.168.4.133,192.168.4.75,56668,65389,0,0x0014
192.168.4.133,192.168.4.75,56668,1192,0,0x0014
192.168.4.133,192.168.4.75,56668,1461,0,0x0014
192.168.4.133,192.168.4.20,56668,49163,0,0x0014
192.168.4.133,192.168.4.113,56668,9,0,0x0014
192.168.4.133,192.168.4.20,56668,13722,0,0x0014
192.168.4.133,192.168.4.20,56668,5226,0,0x0014
192.168.4.133,192.168.4.20,56668,30,0,0x0014
192.168.4.133,192.168.4.20,56668,8400,0,0x0014
192.168.4.133,192.168.4.20,56668,255,0,0x0014
192.168.4.133,192.168.4.20,56668,2196,0,0x0014
192.168.4.133,192.168.4.20,56668,1099,0,0x0014
192.168.4.133,192.168.4.113,56668,37,0,0x0014
192.168.4.133,192.168.4.20,56668,3077,0,0x0014
192.168.4.133,192.168.4.21,56668,8400,0,0x0014
192.168.4.133,192.168.4.21,56668,2196,0,0x0014
192.168.4.133,192.168.4.21,56668,9,0,0x0014
192.168.4.133,192.168.4.113,56668,1328,0,0x0014
192.168.4.133,192.168.4.21,56668,49163,0,0x0014
192.168.4.133,192.168.4.21,56668,1046,0,0x0014
192.168.4.133,192.168.4.21,56668,1301,0,0x0014
192.168.4.133,192.168.4.21,56668,3077,0,0x0014
192.168.4.133,192.168.4.113,56668,1217,0,0x0014
192.168.4.133,192.168.4.21,56668,32774,0,0x0014
192.168.4.133,192.168.4.113,56668,6692,0,0x0014
192.168.4.133,192.168.4.21,56668,683,0,0x0014
192.168.4.133,192.168.4.113,56668,5550,0,0x0014
192.168.4.133,192.168.4.20,56668,32774,0,0x0014
192.168.4.133,192.168.4.21,56668,667,0,0x0014
192.168.4.133,192.168.4.113,56668,7001,0,0x0014
192.168.4.133,192.168.4.113,56668,9111,0,0x0014
192.168.4.133,192.168.4.113,56668,8045,0,0x0014
192.168.4.133,192.168.4.113,56668,512,0,0x0014
192.168.4.133,192.168.4.113,56668,3283,0,0x0014
192.168.4.133,192.168.4.113,56668,1974,0,0x0014
192.168.4.133,192.168.4.113,56668,9929,0,0x0014
192.168.4.133,192.168.4.113,56668,50001,0,0x0014
192.168.4.133,192.168.4.113,56668,9000,0,0x0014
192.168.4.133,192.168.4.113,56668,5998,0,0x0014
192.168.4.133,192.168.4.113,56668,2607,0,0x0014
192.168.4.133,192.168.4.113,56668,4002,0,0x0014
192.168.4.133,192.168.4.113,56668,28201,0,0x0014
192.168.4.133,192.168.4.113,56668,5962,0,0x0014
192.168.4.133,192.168.4.20,56668,1046,0,0x0014
192.168.4.133,192.168.4.20,56668,1328,0,0x0014
192.168.4.133,192.168.4.20,56668,9,0,0x0014
192.168.4.133,192.168.4.20,56668,667,0,0x0014
192.168.4.133,192.168.4.20,56668,5550,0,0x0014
192.168.4.133,192.168.4.20,56668,1301,0,0x0014
192.168.4.133,192.168.4.20,56668,683,0,0x0014
192.168.4.133,192.168.4.20,56668,6692,0,0x0014
192.168.4.133,192.168.4.20,56668,37,0,0x0014
192.168.4.133,192.168.4.20,56668,1217,0,0x0014
192.168.4.133,192.168.4.77,56668,7938,0,0x0014
192.168.4.133,192.168.4.77,56668,6668,0,0x0014
192.168.4.133,192.168.4.77,56668,4848,0,0x0014
192.168.4.133,192.168.4.77,56668,8651,0,0x0014
192.168.4.133,192.168.4.21,56668,1328,0,0x0014
192.168.4.133,192.168.4.21,56668,7001,0,0x0014
192.168.4.133,192.168.4.77,56668,631,0,0x0014
192.168.4.133,192.168.4.21,56668,9111,0,0x0014
192.168.4.133,192.168.4.77,56668,32782,0,0x0014
192.168.4.133,192.168.4.21,56668,1974,0,0x0014
192.168.4.133,192.168.4.21,56668,1217,0,0x0014
192.168.4.133,192.168.4.21,56668,6692,0,0x0014
192.168.4.133,192.168.4.21,56668,5550,0,0x0014
192.168.4.133,192.168.4.21,56668,512,0,0x0014
192.168.4.133,192.168.4.77,56668,264,0,0x0014
192.168.4.133,192.168.4.21,56668,37,0,0x0014
192.168.4.133,192.168.4.77,56668,27356,0,0x0014
192.168.4.133,192.168.4.21,56668,8045,0,0x0014
192.168.4.133,192.168.4.77,56668,5003,0,0x0014
192.168.4.133,192.168.4.77,56668,1216,0,0x0014
192.168.4.113,192.168.4.133,9535,56668,1024,0x0002
192.168.4.20,192.168.4.133,7001,56668,1024,0x0002
192.168.4.21,192.168.4.133,9929,56668,1024,0x0002
192.168.4.75,192.168.4.133,18040,56668,1024,0x0002
192.168.4.77,192.168.4.133,7070,56668,1024,0x0002
192.168.4.113,192.168.4.133,5987,56668,1024,0x0002
192.168.4.20,192.168.4.133,1974,56668,1024,0x0002
192.168.4.21,192.168.4.133,5998,56668,1024,0x0002
192.168.4.75,192.168.4.133,3269,56668,1024,0x0002
192.168.4.77,192.168.4.133,32770,56668,1024,0x0002
192.168.4.113,192.168.4.133,30718,56668,1024,0x0002
192.168.4.20,192.168.4.133,512,56668,1024,0x0002
192.168.4.21,192.168.4.133,4002,56668,1024,0x0002
192.168.4.75,192.168.4.133,33354,56668,1024,0x0002
192.168.4.77,192.168.4.133,31337,56668,1024,0x0002
192.168.4.113,192.168.4.133,1718,56668,1024,0x0002
192.168.4.20,192.168.4.133,9111,56668,1024,0x0002
192.168.4.21,192.168.4.133,50001,56668,1024,0x0002
192.168.4.75,192.168.4.133,4,56668,1024,0x0002
192.168.4.77,192.168.4.133,1051,56668,1024,0x0002
192.168.4.113,192.168.4.133,5033,56668,1024,0x0002
192.168.4.20,192.168.4.133,8045,56668,1024,0x0002
192.168.4.21,192.168.4.133,3283,56668,1024,0x0002
192.168.4.75,192.168.4.133,2222,56668,1024,0x0002
192.168.4.77,192.168.4.133,1037,56668,1024,0x0002
192.168.4.113,192.168.4.133,1068,56668,1024,0x0002
192.168.4.20,192.168.4.133,9929,56668,1024,0x0002
192.168.4.21,192.168.4.133,9000,56668,1024,0x0002
192.168.4.75,192.168.4.133,22939,56668,1024,0x0002
192.168.4.77,192.168.4.133,2008,56668,1024,0x0002
192.168.4.113,192.168.4.133,146,56668,1024,0x0002
192.168.4.20,192.168.4.133,5998,56668,1024,0x0002
192.168.4.21,192.168.4.133,5962,56668,1024,0x0002
192.168.4.75,192.168.4.133,6699,56668,1024,0x0002
192.168.4.77,192.168.4.133,3800,56668,1024,0x0002
192.168.4.113,192.168.4.133,1145,56668,1024,0x0002
192.168.4.133,192.168.4.75,56668,10009,0,0x0014
192.168.4.133,192.168.4.75,56668,3017,0,0x0014
192.168.4.133,192.168.4.75,56668,880,0,0x0014
192.168.4.133,192.168.4.75,56668,4848,0,0x0014
192.168.4.133,192.168.4.75,56668,1533,0,0x0014
192.168.4.133,192.168.4.75,56668,49400,0,0x0014
192.168.4.133,192.168.4.75,56668,2045,0,0x0014
192.168.4.133,192.168.4.75,56668,16018,0,0x0014
192.168.4.133,192.168.4.75,56668,20031,0,0x0014
192.168.4.133,192.168.4.75,56668,50006,0,0x0014
192.168.4.20,192.168.4.133,4002,56668,1024,0x0002
192.168.4.21,192.168.4.133,2607,56668,1024,0x0002
192.168.4.75,192.168.4.133,1010,56668,1024,0x0002
192.168.4.77,192.168.4.133,32775,56668,1024,0x0002
192.168.4.113,192.168.4.133,1073,56668,1024,0x0002
192.168.4.20,192.168.4.133,50001,56668,1024,0x0002
192.168.4.21,192.168.4.133,28201,56668,1024,0x0002
192.168.4.75,192.168.4.133,7025,56668,1024,0x0002
192.168.4.77,192.168.4.133,2170,56668,1024,0x0002
192.168.4.113,192.168.4.133,1641,56668,1024,0x0002
192.168.4.20,192.168.4.133,3283,56668,1024,0x0002
192.168.4.21,192.168.4.133,9535,56668,1024,0x0002
192.168.4.75,192.168.4.133,7070,56668,1024,0x0002
192.168.4.77,192.168.4.133,55055,56668,1024,0x0002
192.168.4.113,192.168.4.133,1186,56668,1024,0x0002
192.168.4.20,192.168.4.133,9000,56668,1024,0x0002
192.168.4.21,192.168.4.133,5987,56668,1024,0x0002
192.168.4.75,192.168.4.133,32770,56668,1024,0x0002
192.168.4.77,192.168.4.133,3826,56668,1024,0x0002
192.168.4.113,192.168.4.133,8652,56668,1024,0x0002
192.168.4.20,192.168.4.133,5962,56668,1024,0x0002
192.168.4.21,192.168.4.133,30718,56668,1024,0x0002
192.168.4.75,192.168.4.133,31337,56668,1024,0x0002
192.168.4.77,192.168.4.133,1455,56668,1024,0x0002
192.168.4.113,192.168.4.133,8200,56668,1024,0x0002
192.168.4.20,192.168.4.133,2607,56668,1024,0x0002
192.168.4.21,192.168.4.133,1718,56668,1024,0x0002
192.168.4.75,192.168.4.133,1051,56668,1024,0x0002
192.168.4.77,192.168.4.133,902,56668,1024,0x0002
192.168.4.113,192.168.4.133,10004,56668,1024,0x0002
192.168.4.20,192.168.4.133,28201,56668,1024,0x0002
192.168.4.21,192.168.4.133,5033,56668,1024,0x0002
192.168.4.75,192.168.4.133,1037,56668,1024,0x0002
192.168.4.77,192.168.4.133,89,56668,1024,0x0002
192.168.4.113,192.168.4.133,12000,56668,1024,0x0002
192.168.4.20,192.168.4.133,9535,56668,1024,0x0002
