tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,labeled_data
80,34542,501,0x0010,0
34542,80,133,0x0010,0
32822,443,14480,0x0010,0
80,43684,501,0x0010,0
80,43726,501,0x0010,0
80,43710,501,0x0010,0
80,41090,501,0x0010,0
80,34506,501,0x0010,0
80,45954,501,0x0010,0
43684,80,135,0x0010,0
34506,80,141,0x0010,0
43726,80,133,0x0010,0
43710,80,131,0x0010,0
45954,80,8,0x0010,0
41090,80,8,0x0010,0
80,39534,501,0x0010,0
443,51880,501,0x0010,0
80,39542,501,0x0010,0
80,39540,501,0x0010,0
39534,80,261,0x0010,0
39542,80,261,0x0010,0
39540,80,261,0x0010,0
51880,443,2048,0x0010,0
443,52216,501,0x0010,0
443,33930,501,0x0010,0
443,33936,501,0x0010,0
443,58154,501,0x0010,0
443,33918,501,0x0010,0
80,34518,501,0x0010,0
443,51888,501,0x0010,0
80,40968,501,0x0010,0
443,52206,501,0x0010,0
34518,80,139,0x0010,0
40968,80,8,0x0010,0
33936,443,960,0x0010,0
33930,443,960,0x0010,0
33918,443,936,0x0010,0
58154,443,14480,0x0010,0
52206,443,15708,0x0010,0
52216,443,15709,0x0010,0
51888,443,2048,0x0010,0
443,33910,501,0x0010,0
33910,443,884,0x0010,0
80,41090,501,0x0011,0
80,45954,501,0x0011,0
80,34542,501,0x0011,0
443,32822,501,0x0018,0
443,32822,501,0x0011,0
80,43710,501,0x0011,0
80,43726,501,0x0011,0
80,34506,501,0x0011,0
34542,80,133,0x0011,0
34506,80,141,0x0011,0
43726,80,133,0x0011,0
80,34542,501,0x0010,0
80,34506,501,0x0010,0
80,43726,501,0x0010,0
43710,80,131,0x0011,0
80,43710,501,0x0010,0
41090,80,8,0x0011,0
80,41090,501,0x0010,0
45954,80,8,0x0011,0
80,45954,501,0x0010,0
32822,443,16652,0x0010,0
32822,443,17376,0x0011,0
443,32822,501,0x0010,0
443,51330,501,0x0018,0
443,52814,501,0x0018,0
443,46204,501,0x0018,0
443,35944,501,0x0018,0
80,48842,501,0x0010,0
80,48848,501,0x0010,0
46204,443,290,0x0010,0
46204,443,290,0x0018,0
443,46204,501,0x0010,0
51330,443,118,0x0018,0
443,51330,501,0x0010,0
52814,443,118,0x0018,0
443,52814,501,0x0010,0
35944,443,118,0x0018,0
443,35944,501,0x0010,0
48842,80,501,0x0010,0
48848,80,501,0x0010,0
80,43670,501,0x0010,0
80,43662,501,0x0010,0
43670,80,139,0x0010,0
43662,80,141,0x0010,0
80,39540,501,0x0011,0
443,52206,501,0x0018,0
443,52206,501,0x0011,0
443,33936,501,0x0018,0
443,33936,501,0x0011,0
80,39542,501,0x0011,0
443,51880,501,0x0018,0
443,51880,501,0x0011,0
443,58154,501,0x0018,0
443,58154,501,0x0011,0
443,51888,501,0x0018,0
443,51888,501,0x0011,0
80,43684,501,0x0011,0
443,33930,501,0x0018,0
443,33930,501,0x0011,0
80,40968,501,0x0011,0
80,34518,501,0x0011,0
443,33918,501,0x0018,0
443,33918,501,0x0011,0
443,33910,501,0x0018,0
443,33910,501,0x0011,0
443,52216,501,0x0018,0
443,52216,501,0x0011,0
80,39534,501,0x0011,0
34518,80,139,0x0011,0
80,34518,501,0x0010,0
43684,80,135,0x0011,0
80,43684,501,0x0010,0
39540,80,261,0x0011,0
80,39540,501,0x0010,0
40968,80,8,0x0011,0
80,40968,501,0x0010,0
33936,443,960,0x0011,0
39534,80,261,0x0011,0
443,33936,501,0x0010,0
80,39534,501,0x0010,0
39542,80,261,0x0011,0
80,39542,501,0x0010,0
33910,443,884,0x0011,0
33918,443,936,0x0011,0
33930,443,960,0x0011,0
443,33910,501,0x0010,0
443,33918,501,0x0010,0
443,33930,501,0x0010,0
51880,443,2048,0x0010,0
51880,443,2048,0x0011,0
443,51880,0,0x0004,0
58154,443,16652,0x0010,0
58154,443,17376,0x0011,0
443,58154,501,0x0010,0
52206,443,15739,0x0010,0
52206,443,15739,0x0011,0
443,52206,501,0x0010,0
51880,443,2048,0x0010,0
443,51880,0,0x0004,0
52206,443,15739,0x0010,0
52216,443,15740,0x0010,0
52216,443,15740,0x0011,0
52216,443,15740,0x0010,0
443,52216,501,0x0010,0
51888,443,2048,0x0010,0
51888,443,2048,0x0011,0
443,51888,501,0x0010,0
443,60774,501,0x0010,0
60774,443,932,0x0010,0
443,46732,501,0x0018,0
443,60698,501,0x0018,0
443,36636,501,0x0018,0
443,54232,501,0x0018,0
443,37534,501,0x0018,0
443,51640,501,0x0018,0
443,35818,501,0x0018,0
443,37500,501,0x0018,0
443,41724,501,0x0018,0
443,44464,501,0x0018,0
443,35498,501,0x0018,0
443,48226,501,0x0018,0
54232,443,135,0x0018,0
37500,443,137,0x0018,0
443,54232,501,0x0010,0
443,37500,501,0x0010,0
60698,443,118,0x0018,0
443,60698,501,0x0010,0
44464,443,127,0x0018,0
443,44464,501,0x0010,0
41724,443,118,0x0018,0
443,41724,501,0x0010,0
48226,443,130,0x0018,0
37534,443,118,0x0018,0
443,48226,501,0x0010,0
443,37534,501,0x0010,0
35818,443,118,0x0018,0
443,35818,501,0x0010,0
46732,443,122,0x0018,0
443,46732,501,0x0010,0
51640,443,118,0x0018,0
443,51640,501,0x0010,0
36636,443,503,0x0010,0
35498,443,3963,0x0010,0
35498,443,3963,0x0018,0
443,35498,501,0x0010,0
36636,443,503,0x0018,0
443,36636,501,0x0010,0
443,34324,501,0x0010,0
34324,443,954,0x0010,0
443,54192,501,0x0018,0
443,48366,501,0x0018,0
443,59242,501,0x0018,0
443,51784,501,0x0018,0
443,54480,501,0x0018,0
443,55888,501,0x0018,0
54192,443,483,0x0018,0
443,54192,501,0x0010,0
59242,443,118,0x0018,0
443,59242,501,0x0010,0
54480,443,118,0x0018,0
443,54480,501,0x0010,0
48366,443,273,0x0018,0
443,48366,501,0x0010,0
55888,443,3987,0x0010,0
55888,443,3987,0x0018,0
443,55888,501,0x0010,0
51784,443,236,0x0018,0
443,51784,501,0x0010,0
443,45202,501,0x0010,0
443,44158,501,0x0010,0
443,44150,501,0x0010,0
443,45196,501,0x0010,0
45202,443,964,0x0010,0
44158,443,956,0x0010,0
44150,443,958,0x0010,0
45196,443,964,0x0010,0
443,59654,501,0x0010,0
59654,443,501,0x0010,0
44464,443,127,0x0018,0
44464,443,127,0x0018,0
44464,443,127,0x0011,0
443,44464,501,0x0010,0
443,44464,501,0x0010,0
443,44464,501,0x0018,0
443,44464,501,0x0018,0
443,44464,501,0x0011,0
44464,443,127,0x0014,0
44464,443,0,0x0004,0
36636,443,503,0x0018,0
36636,443,503,0x0011,0
443,36636,501,0x0010,0
443,36636,501,0x0018,0
443,36636,501,0x0018,0
443,36636,501,0x0011,0
36636,443,0,0x0004,0
443,37476,501,0x0010,0
37476,443,5190,0x0010,0
80,48842,501,0x0010,0
80,48848,501,0x0010,0
48842,80,501,0x0010,0
48848,80,501,0x0010,0
80,43662,501,0x0010,0
80,43670,501,0x0010,0
43662,80,141,0x0010,0
43670,80,139,0x0010,0
443,60774,501,0x0010,0
60774,443,932,0x0010,0
443,34324,501,0x0010,0
5900,55209,1024,0x0000,1
8080,55209,1024,0x0000,1
139,55209,1024,0x0000,1
256,55209,1024,0x0000,1
1025,55209,1024,0x0000,1
111,55209,1024,0x0000,1
993,55209,1024,0x0000,1
3389,55209,1024,0x0000,1
53,55209,1024,0x0000,1
587,55209,1024,0x0000,1
55209,587,0,0x0014,0
55209,111,0,0x0014,0
55209,5900,0,0x0014,0
55209,256,0,0x0014,0
55209,53,0,0x0014,0
55209,3389,0,0x0014,0
55209,139,0,0x0014,0
55209,8080,0,0x0014,0
55209,993,0,0x0014,0
55209,1025,0,0x0014,0
135,55209,1024,0x0000,1
3306,55209,1024,0x0000,1
1720,55209,1024,0x0000,1
22,55209,1024,0x0000,1
8888,55209,1024,0x0000,1
143,55209,1024,0x0000,1
113,55209,1024,0x0000,1
21,55209,1024,0x0000,1
80,55209,1024,0x0000,1
443,55209,1024,0x0000,1
110,55209,1024,0x0000,1
995,55209,1024,0x0000,1
25,55209,1024,0x0000,1
1723,55209,1024,0x0000,1
23,55209,1024,0x0000,1
199,55209,1024,0x0000,1
554,55209,1024,0x0000,1
445,55209,1024,0x0000,1
3283,55209,1024,0x0000,1
1145,55209,1024,0x0000,1
55209,8888,0,0x0014,0
55209,1720,0,0x0014,0
55209,80,0,0x0014,0
55209,143,0,0x0014,0
55209,135,0,0x0014,0
55209,443,0,0x0014,0
55209,199,0,0x0014,0
55209,23,0,0x0014,0
55209,3306,0,0x0014,0
55209,25,0,0x0014,0
55209,21,0,0x0014,0
55209,1723,0,0x0014,0
55209,22,0,0x0014,0
55209,113,0,0x0014,0
55209,995,0,0x0014,0
2004,55209,1024,0x0000,1
5825,55209,1024,0x0000,1
10004,55209,1024,0x0000,1
99,55209,1024,0x0000,1
55600,55209,1024,0x0000,1
8292,55209,1024,0x0000,1
1213,55209,1024,0x0000,1
20,55209,1024,0x0000,1
3003,55209,1024,0x0000,1
3809,55209,1024,0x0000,1
1947,55209,1024,0x0000,1
25735,55209,1024,0x0000,1
16113,55209,1024,0x0000,1
3998,55209,1024,0x0000,1
9001,55209,1024,0x0000,1
2105,55209,1024,0x0000,1
3005,55209,1024,0x0000,1
8192,55209,1024,0x0000,1
1027,55209,1024,0x0000,1
5060,55209,1024,0x0000,1
55209,3283,0,0x0014,0
55209,1145,0,0x0014,0
3986,55209,1024,0x0000,1
1700,55209,1024,0x0000,1
3325,55209,1024,0x0000,1
2393,55209,1024,0x0000,1
9111,55209,1024,0x0000,1
1124,55209,1024,0x0000,1
14441,55209,1024,0x0000,1
1812,55209,1024,0x0000,1
5221,55209,1024,0x0000,1
3690,55209,1024,0x0000,1
55209,110,0,0x0014,0
