ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.136,192.168.4.133,8010,52825,1024,0x0002
192.168.4.133,192.168.4.78,52825,8100,0,0x0014
192.168.4.133,192.168.4.77,52825,49156,0,0x0014
192.168.4.133,192.168.4.78,52825,9900,0,0x0014
192.168.4.133,192.168.4.77,52825,10025,0,0x0014
192.168.4.133,192.168.4.21,52825,1556,0,0x0014
192.168.4.136,192.168.4.133,280,52827,1024,0x0002
192.168.4.77,192.168.4.133,1875,52825,1024,0x0002
192.168.4.78,192.168.4.133,3011,52825,1024,0x0002
192.168.4.106,192.168.4.133,5269,52825,1024,0x0002
192.168.4.136,192.168.4.133,2021,52825,1024,0x0002
192.168.4.21,192.168.4.133,1900,52825,1024,0x0002
192.168.4.77,192.168.4.133,1102,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,2557,0,0x0014
192.168.4.133,192.168.4.106,52825,18101,0,0x0014
192.168.4.133,192.168.4.77,52825,32781,0,0x0014
192.168.4.136,192.168.4.133,6666,52827,1024,0x0002
192.168.4.136,192.168.4.133,2222,52827,1024,0x0002
192.168.4.136,192.168.4.133,4550,52825,1024,0x0002
192.168.4.21,192.168.4.133,22939,52825,1024,0x0002
192.168.4.77,192.168.4.133,8651,52825,1024,0x0002
192.168.4.78,192.168.4.133,1183,52825,1024,0x0002
192.168.4.133,192.168.4.21,52825,1082,0,0x0014
192.168.4.133,192.168.4.78,52825,1216,0,0x0014
192.168.4.133,192.168.4.21,52825,16113,0,0x0014
192.168.4.133,192.168.4.78,52825,1782,0,0x0014
192.168.4.133,192.168.4.77,52825,1875,0,0x0014
192.168.4.133,192.168.4.77,52825,1102,0,0x0014
192.168.4.133,192.168.4.106,52825,32768,0,0x0014
192.168.4.133,192.168.4.106,52825,5730,0,0x0014
192.168.4.1,192.168.4.133,1164,52825,1024,0x0002
192.168.4.21,192.168.4.133,6059,52825,1024,0x0002
192.168.4.77,192.168.4.133,3784,52825,1024,0x0002
192.168.4.78,192.168.4.133,4899,52825,1024,0x0002
192.168.4.106,192.168.4.133,30,52825,1024,0x0002
192.168.4.136,192.168.4.133,2800,52825,1024,0x0002
192.168.4.21,192.168.4.133,20000,52825,1024,0x0002
192.168.4.77,192.168.4.133,222,52825,1024,0x0002
192.168.4.136,192.168.4.133,1022,52827,1024,0x0002
192.168.4.136,192.168.4.133,5221,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,8651,0,0x0014
192.168.4.133,192.168.4.21,52825,1900,0,0x0014
192.168.4.133,192.168.4.78,52825,61532,0,0x0014
192.168.4.133,192.168.4.78,52825,808,0,0x0014
192.168.4.133,192.168.4.21,52825,22939,0,0x0014
192.168.4.133,192.168.4.106,52825,5269,0,0x0014
192.168.4.133,192.168.4.1,52825,1164,0,0x0014
192.168.4.133,192.168.4.77,52825,3784,0,0x0014
192.168.4.133,192.168.4.77,52825,222,0,0x0014
