ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.133,192.168.4.77,52825,79,0,0x0014
192.168.4.133,192.168.4.21,52825,5280,0,0x0014
192.168.4.133,192.168.4.21,52825,3659,0,0x0014
192.168.4.21,192.168.4.133,5815,52825,1024,0x0002
192.168.4.77,192.168.4.133,1761,52825,1024,0x0002
192.168.4.78,192.168.4.133,481,52825,1024,0x0002
192.168.4.106,192.168.4.133,212,52825,1024,0x0002
192.168.4.136,192.168.4.133,3878,52825,1024,0x0002
192.168.4.21,192.168.4.133,2008,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,3527,0,0x0014
192.168.4.133,192.168.4.78,52825,6543,0,0x0014
192.168.4.133,192.168.4.78,52825,27715,0,0x0014
192.168.4.136,192.168.4.133,1718,52827,1024,0x0002
192.168.4.106,192.168.4.133,514,52825,1024,0x0002
192.168.4.136,192.168.4.133,2718,52825,1024,0x0002
192.168.4.21,192.168.4.133,7001,52825,1024,0x0002
192.168.4.77,192.168.4.133,1175,52825,1024,0x0002
192.168.4.78,192.168.4.133,23502,52825,1024,0x0002
192.168.4.106,192.168.4.133,9099,52825,1024,0x0002
192.168.4.136,192.168.4.133,1056,52827,1024,0x0002
192.168.4.133,192.168.4.21,52825,981,0,0x0014
192.168.4.133,192.168.4.106,52825,9,0,0x0014
192.168.4.133,192.168.4.106,52825,32769,0,0x0014
